Sequence_Index,Euclidean_Distance
0,0.45767200477819314
1,0.47205097324540746
2,0.5212287634684961
3,0.5422571323236427
4,0.459399372007996
5,0.5181862571793497
6,0.5275950532896575
7,0.5555522959822441
8,0.5178539486699609
9,0.49590645001295985
10,0.4962801174806247
11,0.5336919400264841
12,0.45763978321500126
13,0.4747576352687943
14,0.48963670338752696
15,0.5015722379450921
16,0.5006770857247375
17,0.45668131897284536
18,0.44987439893411973
19,0.42193812313960743
20,0.4434164456137168
21,0.5180080785803246
22,0.47424652658928734
23,0.5264982194037868
24,0.5304063496389859
25,0.459563023054655
26,0.4759229404350317
27,0.5399106488452003
28,0.45390994367102777
29,0.5469726645019759
30,0.5143923289371074
31,0.4557632483681923
32,0.4571674455756169
33,0.5566070344271181
34,0.5120609646451874
35,0.4725470549209071
36,0.4784375785434316
37,0.4839645062650767
38,0.4918124014451803
39,0.4987426358184587
40,0.49727311155481757
41,0.4389924090160401
42,0.4795063929099213
43,0.45800970949814024
44,0.46907185349671876
45,0.5058147168245732
46,0.45170000292175844
47,0.5284340206779964
48,0.5198056689039869
49,0.48581123351575317
50,0.44994812848739885
51,0.4325398083683218
52,0.5268803669559594
53,0.4463284638830235
54,0.47391744290362453
55,0.4732587172162617
56,0.4614266066848042
57,0.5070583932479179
58,0.47058232111437814
59,0.5030623731914388
60,0.5078850232554676
61,0.5126598595748236
62,0.5288451166560978
63,0.48671450608149097
64,0.483507618722495
65,0.4695259710688302
66,0.49873465322928284
67,0.474321595308754
68,0.52458323819843
69,0.4199109058182601
70,0.5563547105943824
71,0.47690930431736067
72,0.488407257409072
73,0.513711417242795
74,0.5221069186236006
75,0.46271631297450566
76,0.47703345396008706
77,0.49458971518498457
78,0.5525172741126994
79,0.44903235947482234
80,0.4588899108552969
81,0.4721699940294674
82,0.5024562509619565
83,0.5214759961988007
84,0.4667320580133437
85,0.4765423399613017
86,0.4409961448252017
87,0.5318322591198206
88,0.5017506245579534
89,0.5023624138609476
90,0.4887600902295269
91,0.48779017349950654
92,0.45936325844898124
93,0.5290087611895206
94,0.4946608068906022
95,0.43270520286563013
96,0.5506008227433788
97,0.5078316200763697
98,0.4573941118377104
99,0.5445484639943083
100,0.4876686540321486
101,0.43490020312764355
102,0.42279708149097706
103,0.4879778231822395
104,0.5016546789015165
105,0.47478779501437673
106,0.46094418792768227
107,0.5503971745818093
108,0.48530200443467764
109,0.45218106635604394
110,0.45472832273554775
111,0.44494834474611994
112,0.5132554199283956
113,0.5059467350032042
114,0.45795784924221716
115,0.45602993402102
116,0.4565696031354269
117,0.4753680841645839
118,0.49404244917265633
119,0.4802856211817854
120,0.5519824676633379
121,0.5137162468984408
122,0.5069175509222933
123,0.502034350091509
124,0.49391627149451506
125,0.4808876182234814
126,0.5005247508386738
127,0.4834789774489278
128,0.48865460414853246
129,0.5556860690167746
130,0.4414014564594918
131,0.5125065537583154
132,0.4637942061413665
133,0.5135178505210682
134,0.417518786546245
135,0.4916600285020115
136,0.48071911334528794
137,0.46660493920476603
138,0.5146419643756929
139,0.5829336925472441
140,0.5149764983730261
141,0.49100832173922776
142,0.42733609569509723
143,0.4919116638441735
144,0.5448805016188367
145,0.5021277526977419
146,0.5377473213723688
147,0.44952157955033345
148,0.47352932948825166
149,0.483295641099922
150,0.5022888849094538
151,0.4837040411145389
152,0.4866214788621015
153,0.45668054142284265
154,0.5085138779098737
155,0.5190040002048562
156,0.48285996532039116
157,0.45830970812691263
158,0.4625426794596418
159,0.4871647090907646
160,0.5207889836683219
161,0.5149417877100675
162,0.5515107045346254
163,0.4512314880587061
164,0.47745634714921753
165,0.515625847088875
166,0.5151318142793487
167,0.48859732249736126
168,0.4603149685580706
169,0.4965809152223419
170,0.4878028597164479
171,0.43511949245240655
172,0.5133235467469199
173,0.4431796940395485
174,0.5092965281160451
175,0.46710063507465993
176,0.5143608361263375
177,0.47057076234941636
178,0.517132674035162
179,0.4797303133655147
180,0.4573902078077062
181,0.47162347147191686
182,0.43918873427943383
183,0.5091723773528315
184,0.507114106297108
185,0.48207860203324776
186,0.4549147354958721
187,0.47803007848743395
188,0.513888232425286
189,0.47637840711439333
190,0.5187040615889275
191,0.521271333997276
192,0.46335318766879224
193,0.49057272711108696
194,0.49217937506172793
195,0.5008708183059478
196,0.47009783773020686
197,0.4964300392856674
198,0.554673646015039
199,0.49018490739423914
200,0.45871459708426365
201,0.5263116703002644
202,0.49227035879257186
203,0.49041971307588456
204,0.49602357624469867
205,0.45090183434835884
206,0.43795269080072496
207,0.4434580231972538
208,0.45299999800140645
209,0.4896746301485826
210,0.4752000259008798
211,0.5260842253946176
212,0.5205677039448764
213,0.5148933997925758
214,0.47612400918329234
215,0.48874843353591396
216,0.5346718394206573
217,0.46708528170125
218,0.46022288809327033
219,0.45784246660159406
220,0.4581190622940715
221,0.49751466718715565
222,0.45183677577563686
223,0.45858795291551474
224,0.4641577439216422
225,0.4702109116790337
226,0.4724418660242858
227,0.47691455127181065
228,0.5074218230815684
229,0.44115226292034204
230,0.5091788808905842
231,0.529326368369294
232,0.43716589472004397
233,0.49055754471546675
234,0.39281819024433423
235,0.48451608452804185
236,0.5588587644963352
237,0.4428068710159786
238,0.5306566263662073
239,0.47495348374356783
240,0.5010564266430645
241,0.5357556648742103
242,0.48263225316896624
243,0.49660677561181094
244,0.44253780568319634
245,0.494411139314605
246,0.5369322780133132
247,0.46209801257897054
248,0.5425244793567263
249,0.47679339819980193
250,0.4636421896543692
251,0.44119589343871685
252,0.4782298609272477
253,0.4708198104491427
254,0.5100618267427912
255,0.4570701892388597
256,0.45670989783479216
257,0.44949044359356444
258,0.40661686117096374
259,0.4745109505757713
260,0.4944229397397634
261,0.4820560388576452
262,0.4607335935662939
263,0.4615858245062281
264,0.46858332066207503
265,0.4498730870925156
266,0.48975497009828967
267,0.486587847680738
268,0.518151661894198
269,0.5423654430715634
270,0.5164256458744476
271,0.47073543967183845
272,0.4504747476757845
273,0.4719939573931994
274,0.44024682287312317
275,0.45966104624242793
276,0.45822127936169116
277,0.5127800709142273
278,0.5213505457839963
279,0.48681929932022594
280,0.4887541457154048
281,0.47169846004861077
282,0.4462646000730417
283,0.4846032984518102
284,0.5001799574355397
285,0.5262045952431667
286,0.4340954848463156
287,0.4885854822972868
288,0.5266418038158045
289,0.4729713398818018
290,0.473599965026983
291,0.4909219361384172
292,0.4552651019966999
293,0.45233619357397203
294,0.4997673021929945
295,0.5704554623350852
296,0.4347530481726524
297,0.4537482364864062
298,0.47848603348921603
299,0.5478339847714788
300,0.48736227674691074
301,0.48778462108169507
302,0.5015973000248053
303,0.5270059676804992
304,0.5388387333000492
305,0.46092870442593903
306,0.5135183772982358
307,0.46627326723877477
308,0.47973345037987397
309,0.4688027105882594
310,0.4793769277613446
311,0.4641642053847462
312,0.5355810514525294
313,0.5075003327068959
314,0.45048839516405564
315,0.4577775640842339
316,0.520952076394897
317,0.4080048469335349
318,0.4637385708491629
319,0.4587058954993464
320,0.4430987651863907
321,0.4562878820244654
322,0.45404106221657353
323,0.45641165699153174
324,0.498537948916707
325,0.4584749391511541
326,0.49667310123077646
327,0.5104753119688373
328,0.5404430152081836
329,0.47823271504558895
330,0.4978253003159718
331,0.5307108308072674
332,0.42257702501691013
333,0.5315884887676992
334,0.4900727446002543
335,0.483679128711355
336,0.5390895165772273
337,0.4415549386946788
338,0.47915656355428815
339,0.49259145152353323
340,0.4694743097063468
341,0.4731507374911908
342,0.4436314208178164
343,0.4911436446363954
344,0.4902694583271206
345,0.5022190584852426
346,0.4912001323388216
347,0.4536248422720709
348,0.48385290801410363
349,0.5061056257660371
350,0.4643171691318937
351,0.5449895906400468
352,0.5492248983194321
353,0.5768766583809568
354,0.49971129142612447
355,0.4939138308552533
356,0.5147613954659007
357,0.48511216744957636
358,0.45697573185991736
359,0.5205578848266026
360,0.4550968601159737
361,0.43821988904624065
362,0.5127709274198424
363,0.39438374494079614
364,0.4427826081025793
365,0.4689358775783627
366,0.5383800177728771
367,0.46891923076773734
368,0.4755652349361511
369,0.4947228400549574
370,0.5615791791461281
371,0.4620211883562853
372,0.520883819665376
373,0.5198096347282496
374,0.5150512193682101
375,0.5481459402769941
376,0.4341379395663624
377,0.4987986645640163
378,0.461365160060374
379,0.4376474052847142
380,0.49755765197238466
381,0.5059692127204428
382,0.5041574086382768
383,0.5073318928861184
384,0.46710638889192374
385,0.45636737216284723
386,0.4505656989763804
387,0.5201311067459139
388,0.5144895218136192
389,0.4529535763217144
390,0.47051458198381746
391,0.503243065361955
392,0.48520662711188883
393,0.4668211616952845
394,0.522282487741663
395,0.5258409546366652
396,0.4960059273071688
397,0.4550062941045472
398,0.4871596312897283
399,0.4956911004885368
400,0.47716785155018804
401,0.47806783219691223
402,0.5248486184688458
403,0.5632330227434988
404,0.4573123761824025
405,0.5613749083627824
406,0.40549685361517923
407,0.4885294958404747
408,0.47594148728237906
409,0.49726815300675764
410,0.5446905162367461
411,0.45752281311791987
412,0.472691596311874
413,0.48677369073864357
414,0.4482476215133174
415,0.5074688738263584
416,0.3866371746695181
417,0.5094053446621764
418,0.4975204217400766
419,0.47990829358593284
420,0.5068324430950266
421,0.5326462826979617
422,0.4561354675745472
423,0.4915657183448857
424,0.5023377191881523
425,0.483898302853942
426,0.44056483551491954
427,0.4919745475887851
428,0.4983898312069719
429,0.4531048802891365
430,0.4658274998952589
431,0.5111439299957591
432,0.5230137645721407
433,0.4934427646963665
434,0.4767186148168284
435,0.5383037898490206
436,0.47909863498037875
437,0.5026461293558349
438,0.43915756921234766
439,0.46785422964636125
440,0.48010938253437074
441,0.5410810802991173
442,0.5500461056845232
443,0.4751819262671491
444,0.4696144501415466
445,0.5301792554370416
446,0.514149379834918
447,0.5050836733823674
448,0.4820713734657755
449,0.5080784907598127
450,0.42245576238717486
451,0.49236892580344016
452,0.48708406307731605
453,0.471831132594211
454,0.500533198574956
455,0.5151994836541306
456,0.45727232248801447
457,0.553437373734642
458,0.5343481501170259
459,0.45084671839557233
460,0.4276725523447323
461,0.5020620472130691
462,0.504623983683998
463,0.4733240000336943
464,0.5241041827491099
465,0.5097431851334879
466,0.5336586461025362
467,0.4516346888314414
468,0.49154152153967745
469,0.5244792628085759
470,0.47224385885812614
471,0.45939300353588475
472,0.4483018940074835
473,0.46403585207569165
474,0.5612613940393184
475,0.43617964238008644
476,0.4843332501104633
477,0.5015597528870076
478,0.45849553515584546
479,0.5293530691881517
480,0.525293601719276
481,0.48383102020319757
482,0.4987264444239258
483,0.4418468814703496
484,0.4737097811910994
485,0.4377214549077352
486,0.4890078627918954
487,0.4915463893210023
488,0.47405541723288913
489,0.47871124553040045
490,0.46646291524307365
491,0.5148586511763019
492,0.478459409540267
493,0.5347878675698796
494,0.4156542622686354
495,0.45209018490351977
496,0.5230906618073112
497,0.42520769435554356
