Sequence_Index,Euclidean_Distance
0,0.5268482203836876
1,0.49158947419003524
2,0.523240258748951
3,0.5741129848566457
4,0.5213952700125468
5,0.5150453395143618
6,0.551199360560906
7,0.5147008928218277
8,0.5088514363736555
9,0.5408944362727485
10,0.4786708791941844
11,0.5086724302877486
12,0.4636709250357274
13,0.453619231864844
14,0.502912351671627
15,0.5463765426609025
16,0.552992078791861
17,0.49668824993375277
18,0.491783987078401
19,0.4904866266713023
20,0.46512421438773993
21,0.48273080689965847
22,0.5205669982190473
23,0.49920130735426577
24,0.5127873093216355
25,0.5336205237798235
26,0.5412115609557357
27,0.48785738156377484
28,0.4059826110494585
29,0.4691386995778546
30,0.4471456473720914
31,0.4992004721838851
32,0.5186278707764232
33,0.46106496101296035
34,0.4607994590786306
35,0.48129066985457314
36,0.5115607682015418
37,0.5363730215474898
38,0.4982289173735882
39,0.4113084686416412
40,0.487219009803283
41,0.45047498620134546
42,0.5577014699673022
43,0.4797316018082986
44,0.47124474264488253
45,0.5164397146387731
46,0.4606380332177542
47,0.5217799544461206
48,0.48985160162309105
49,0.5010661586611562
50,0.5477965662839885
51,0.5266543599478641
52,0.5046593949343745
53,0.5135440322279359
54,0.5173903836829866
55,0.49234350871309096
56,0.5248596452299615
57,0.4629413646684384
58,0.5089800175569142
59,0.5323537600593277
60,0.503571892184037
61,0.509542734338946
62,0.5582300421814064
63,0.5211478729167817
64,0.465775490934669
65,0.4780399761341778
66,0.4686950451301294
67,0.5115858101628794
68,0.5259930996344101
69,0.4610963938718127
70,0.4935677717517134
71,0.5331679188395853
72,0.49301956658687424
73,0.47836360013591733
74,0.4301625403143779
75,0.4788949608913099
76,0.49002165412165843
77,0.5144488214590711
78,0.5228794830054642
79,0.4743239114139346
80,0.5311129387947626
81,0.42843854484143185
82,0.5187066530289502
83,0.5283953929457722
84,0.4705341395615299
85,0.5365753808963665
86,0.5050294041703951
87,0.4420702987238624
88,0.46065662709430644
89,0.40145247221640856
90,0.4956281917553603
91,0.4443499443437863
92,0.5466024641830507
93,0.4084472608489111
94,0.4407462864060093
95,0.4782699666870769
96,0.487313967739915
97,0.46008806762154486
98,0.4688189972692799
99,0.4752802369156461
100,0.5382420147890611
101,0.4994501586923079
102,0.46129219474425637
103,0.5146971321270521
104,0.45789125154777616
105,0.513187270363029
106,0.5005798709930361
107,0.5088007074971114
108,0.4697775286064594
109,0.5080543832677088
110,0.5081675372553467
111,0.4983033410725156
112,0.47142954917754437
113,0.5107283673029848
114,0.45970785879104165
115,0.4170180141121037
116,0.4542711018260583
117,0.544443937189056
118,0.5537328644332954
119,0.4839596219650407
120,0.4883014951627749
121,0.5437171350577936
122,0.45442843010605183
123,0.5521303331827172
124,0.486605394445542
125,0.5109631999846143
126,0.4629025734003859
127,0.41711473661305504
128,0.4739001374942217
129,0.5271796357831573
130,0.4912978201171141
131,0.4961715025143717
132,0.5561581503450802
133,0.4539879086337307
134,0.4992438368010904
135,0.537899442563816
136,0.46794781432444044
137,0.4947489121184424
138,0.45640672318109665
139,0.4998294495325231
140,0.5197904640558083
141,0.46094208890220945
142,0.4577067880543956
143,0.4215537877474269
144,0.4665125916088504
145,0.46867139791917767
146,0.45883279958091344
147,0.4142136332483509
148,0.47812581361934586
149,0.4894938028990478
150,0.4879242446949698
151,0.4750849627460931
152,0.5410624052400883
153,0.5181303172594289
154,0.4928967438399121
155,0.5093475025715914
156,0.41809998170520085
157,0.5300237894445322
158,0.5685925821672232
159,0.4824944164467691
160,0.4918963832108299
161,0.5240579956432825
162,0.4840139810886575
163,0.5105774468912736
164,0.5233995652405135
165,0.48553312492670464
166,0.4635231620386572
167,0.5067951416399187
168,0.5309512575713795
169,0.543077157826605
170,0.5053907412772813
171,0.4512162525615662
172,0.46020314286504044
173,0.5708132628128092
174,0.5390387753051056
175,0.48501018972030735
176,0.5152283073678212
177,0.5037836813113516
178,0.4796172343868699
179,0.4880650113380752
180,0.553689394022668
181,0.4976277158793604
182,0.4695039679745845
183,0.4380492403840648
184,0.5000484955889368
185,0.493096722836579
186,0.46127281158584144
187,0.4833433733651926
188,0.5002735265047724
189,0.4771224955386903
190,0.4922939843877854
191,0.4769774459029236
192,0.5675264724343113
193,0.5321165103909162
194,0.5186066807509515
195,0.4935149629918312
196,0.5244576706496143
197,0.493042551875567
198,0.47136246909684637
199,0.45039115521403067
200,0.5288832710061162
201,0.5268827390289805
202,0.44234987325272207
203,0.5546330735778086
204,0.4949460741037415
205,0.47368914896642456
206,0.4844368681436495
207,0.5186283608107769
208,0.5922647490774834
209,0.4963174601974167
210,0.49078992465326704
211,0.46227578556012766
212,0.48974329619708706
213,0.44777305730149874
214,0.48453456641526416
215,0.4297374420364912
216,0.4988016969207246
217,0.48408445816944706
218,0.4236625061459948
219,0.4478880822331691
220,0.5008670729538699
221,0.42654206357176905
222,0.43930567747226795
223,0.4860977525780618
